항목ID,항목명,데이터타입,설문 문항
C_04_009,케이블TV 시청빈도,단수,귀하께서는 평소에 케이블 채널을 얼마나 자주 시청하고 계십니까?
C_04_011,케이블 프로그램 시청 방법,단수,귀하께서는 케이블 채널에서 시청하시는 드라마/예능/교양 프로그램을 주로 어떤 방법으로 선택하십니까?
C_04_012,케이블 프로그램 정보 획득 경로,단수,귀하는 케이블 채널에서 시청하고 있는 드라마/예능/교양 프로그램에 대한 정보를 어디에서 주로 얻고 계십니까?
C_04_017#1,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#2,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#3,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#4,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#5,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#6,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#7,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#8,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#9,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#10,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#11,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#12,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#13,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#14,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#15,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_017#16,즐겨보는 케이블 프로그램 장르,복수,귀하께서 즐겨보시는 케이블 채널 프로그램 장르를 모두 체크해 주십시오.
C_04_018,케이블 채널 가장 즐겨보는 프로그램,단수,가장 즐겨보는 케이블 채널 프로그램 장르는 어떤 것입니까?
C_04_019,케이블 채널 시청시 채널 변경 이유,단수,귀하께서는 평소 케이블 채널을 시청하실 때 주로 어떠한 이유로 채널을 바꾸십니까?
C_04_020,케이블 채널 광고 주목도(1),단수,귀하께서는 평소 케이블 채널을 시청하시면서 프로그램 전/중간/후에 나오는 광고를 얼마나 많이 보시는 편입니까?
C_04_022,케이블 채널 광고 관심도(1),단수,귀하께서 평소 케이블 채널을 시청하실 때 광고가 나오면 광고를 얼마나 관심 있게 보십니까?
C_06_008,IPTV VOD 서비스 이용 빈도,단수,"귀하께서는 평소에 케이블TV, 올레tv스카이라이프, IPTV의 VOD 서비스를 얼마나 자주 이용하십니까?"
C_06_009,월간 TV VOD 서비스 이용 횟수,주관식,귀하께서는 한 달에 몇 번 정도 TV VOD 서비스를 이용하십니까? (실시간 방송 시청은 제외)
C_06_010,TV VOD 서비스 이용시 가장 즐겨보는 프로그램,단수,귀하께서 TV VOD서비스를 이용하실 때 가장 즐겨보는 프로그램은 어떤 장르입니까?
C_06_012,IPTV VOD 서비스를 이용하는 가장 큰 이유,단수,TV VOD 서비스를 이용하는 가장 큰 이유는 무엇입니까?
C_06_013,유료 VOD 시청빈도,단수,귀하께서는 TV에서 유료 VOD 시청을 어느 정도 하시는 편이십니까?
C_06_020,TV VOD 광고 주목도,단수,귀하께서는 평소 TV에서 VOD를 시청하시면서 프로그램 전/중간/후에 나오는 광고를 얼마나 많이 보시는 편입니까?
C_06_022,TV VOD 광고관심도,단수,귀하께서 평소 TV에서 VOD를 시청하실 때 광고가 나오면 광고를 얼마나 관심 있게 보십니까?
C_06_029,TV VOD 시청 빈도 증가 의향,단수,앞으로 TV에서 VOD를 지금보다 더 자주 시청할 의향이 있습니까?
C_07_001#1,최근 일주일간 TV 시청시 동시 사용매체,복수,귀하께서 최근 일주일 동안 TV를 시청하면서 동시에 이용한 매체를 모두 선택해 주십시오.
C_07_001#2,최근 일주일간 TV 시청시 동시 사용매체,복수,귀하께서 최근 일주일 동안 TV를 시청하면서 동시에 이용한 매체를 모두 선택해 주십시오.
C_07_001#3,최근 일주일간 TV 시청시 동시 사용매체,복수,귀하께서 최근 일주일 동안 TV를 시청하면서 동시에 이용한 매체를 모두 선택해 주십시오.
C_07_001#4,최근 일주일간 TV 시청시 동시 사용매체,복수,귀하께서 최근 일주일 동안 TV를 시청하면서 동시에 이용한 매체를 모두 선택해 주십시오.
C_07_002,TV 시청 시 주 동시 이용 매체 - 신문/잡지,단수,"TV시청과 동시에 이용한 매체 중 주로 이용하시는 것은 무엇입니까? - 신문, 잡지"
C_07_003,"TV 시청 시 주 동시 이용 매체 - PC(데스크탑, 노트북)",단수,"TV시청과 동시에 이용한 매체 중 주로 이용하시는 것은 무엇입니까? - PC(데스크탑, 노트북)"
C_07_004,TV 시청 시 주 동시 이용 매체 - 태블릿 PC,단수,TV시청과 동시에 이용한 매체 중 주로 이용하시는 것은 무엇입니까? - 태블릿PC
C_07_005,TV 시청 시 주 동시 이용 매체 - 스마트폰,단수,TV시청과 동시에 이용한 매체 중 주로 이용하시는 것은 무엇입니까? - 스마트폰
C_07_006,TV 시청 시 동시 이용매체 방해 여부 - 신문/잡지,단수,TV를 시청하면서 다른 매체를 동시에 이용하는 것이 TV 시청에 방해가 되었습니까? - 신문/잡지
C_07_007,"TV 시청 시 동시 이용매체 방해 여부 - PC(데스크탑, 노트북)",단수,"TV를 시청하면서 다른 매체를 동시에 이용하는 것이 TV 시청에 방해가 되었습니까? - PC(데스크탑, 노트북)"
C_07_008,TV 시청 시 동시 이용매체 방해 여부 - 태블릿 PC,단수,TV를 시청하면서 다른 매체를 동시에 이용하는 것이 TV 시청에 방해가 되었습니까? - 태블릿 PC
C_07_009,TV 시청 시 동시 이용매체 방해 여부 - 스마트폰,단수,TV를 시청하면서 다른 매체를 동시에 이용하는 것이 TV 시청에 방해가 되었습니까? - 스마트폰
C_07_010,"TV 시청하며 동시 활동 여부 - SNS (페이스북, 트위터, 인스타그램, 카카오스토리 등)",단수,"최근 일주일 이내 TV를 시청하면서 모바일기기(태블릿PC, 스마트폰)을 동시에 이용하셨을 때 아래의 보기 활동을 하신 적이 있으십니까? - SNS (페이스북, 트위터, 인스타그램, 카카오스토리 등)"
C_07_011,"TV 시청하며 동시 활동 여부 - 메신저 (카카오톡, 라인, 마이피플, 문자 등)",단수,"최근 일주일 이내 TV를 시청하면서 모바일기기(태블릿PC, 스마트폰)을 동시에 이용하셨을 때 아래의 보기 활동을 하신 적이 있으십니까? - 메신저 (카카오톡, 라인, 마이피플, 문자 등)"
C_07_012,"TV 시청하며 동시 활동 여부 - 정보검색 (네이버, 다음, 구글 등)",단수,"최근 일주일 이내 TV를 시청하면서 모바일기기(태블릿PC, 스마트폰)을 동시에 이용하셨을 때 아래의 보기 활동을 하신 적이 있으십니까? - 정보검색 (네이버, 다음, 구글 등)"
C_07_013,"TV 시청하며 동시 활동 여부 - 동영상 시청 (유튜브, 네이버, 다음 등)",단수,"최근 일주일 이내 TV를 시청하면서 모바일기기(태블릿PC, 스마트폰)을 동시에 이용하셨을 때 아래의 보기 활동을 하신 적이 있으십니까? - 동영상 시청 (유튜브, 네이버, 다음 등)"
C_07_014,TV 시청하며 동시 활동 여부 - 온라인/모바일 게임,단수,"최근 일주일 이내 TV를 시청하면서 모바일기기(태블릿PC, 스마트폰)을 동시에 이용하셨을 때 아래의 보기 활동을 하신 적이 있으십니까? - 온라인/모바일 게임"
C_07_015,TV 시청하며 동시 활동 여부 - 온라인/모바일 쇼핑,단수,"최근 일주일 이내 TV를 시청하면서 모바일기기(태블릿PC, 스마트폰)을 동시에 이용하셨을 때 아래의 보기 활동을 하신 적이 있으십니까? - 온라인/모바일 쇼핑"
C_07_016,TV 시청하며 동시 활동 여부 - 기타 어플리케이션,단수,"최근 일주일 이내 TV를 시청하면서 모바일기기(태블릿PC, 스마트폰)을 동시에 이용하셨을 때 아래의 보기 활동을 하신 적이 있으십니까? - 기타 어플리케이션"
C_07_018,"TV 시청하며 프로그램 관련 동시 활동 여부 - SNS, 포털뉴스, 커뮤니티 등 정보검색",단수,"최근 일주일 이내 TV 시청 중 '프로그램 관련'하여 다음의 활동을 하신 적이 있으십니까? - SNS, 포털뉴스, 커뮤니티 등 정보검색"
C_07_019,"TV 시청하며 프로그램 관련 동시 활동 여부 - SNS, 포털뉴스, 커뮤니티 등 검색 후 댓글 작성, 좋아요 클릭",단수,"최근 일주일 이내 TV 시청 중 '프로그램 관련'하여 다음의 활동을 하신 적이 있으십니까? - SNS, 포털뉴스, 커뮤니티 등 검색 후 댓글 작성, 좋아요 클릭"
C_07_020,"TV 시청하며 프로그램 관련 동시 활동 여부 - SNS, 메신저, 커뮤니티 등 관련 글 작성(업로드및 소통",단수,"최근 일주일 이내 TV 시청 중 '프로그램 관련'하여 다음의 활동을 하신 적이 있으십니까? - SNS, 메신저, 커뮤니티 등 관련 글 작성(업로드및 소통"
C_07_021,"최근 일주일 이내 프로그램에 나온 제품/브랜드/서비스/장소 관련 동시 활동 여부 - SNS, 포털뉴스, 커뮤니티 등 정보검색",단수,"최근 일주일 이내 TV 시청 중 프로그램에서 나온 제품, 브랜드, 서비스, 장소에 한정하여 아래 보기의 활동을 하신 적이 있으신가요? - SNS, 포털뉴스, 커뮤니티 등 정보검색"
C_07_022,"최근 일주일 이내 프로그램에 나온 제품/브랜드/서비스/장소 관련 동시 활동 여부 - SNS, 포털뉴스, 커뮤니티 등 검색 후 댓글 작성, 좋아요 클릭",단수,"최근 일주일 이내 TV 시청 중 프로그램에서 나온 제품, 브랜드, 서비스, 장소에 한정하여 아래 보기의 활동을 하신 적이 있으신가요? - SNS, 포털뉴스, 커뮤니티 등 검색 후 댓글 작성, 좋아요 클릭"
C_07_023,"최근 일주일 이내 프로그램에 나온 제품/브랜드/서비스/장소 관련 동시 활동 여부 - SNS, 메신저, 커뮤니티 등 관련 글 작성(업로드및 소통)",단수,"최근 일주일 이내 TV 시청 중 프로그램에서 나온 제품, 브랜드, 서비스, 장소에 한정하여 아래 보기의 활동을 하신 적이 있으신가요? - SNS, 메신저, 커뮤니티 등 관련 글 작성(업로드및 소통)"
C_09_001,라디오 청취 빈도,단수,귀하께서는 라디오 방송을 얼마나 자주 듣고 계십니까? 대중교통 이용 시 청취를 포함해서 말씀해 주십시오.
C_09_002#1,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_002#2,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_002#3,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_002#4,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_002#5,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_002#6,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_002#7,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_002#8,최근 1개월 라디오 청취 장소,복수,귀하께서 최근 1개월 동안 라디오를 들으신 장소를 모두 선택해 주십시오
C_09_004#1,최근 1개월 라디오 청취 방법,복수,귀하께서 최근 1개월 이내 라디오를 들으신 방법을 모두 선택해 주십시오.
C_09_004#2,최근 1개월 라디오 청취 방법,복수,귀하께서 최근 1개월 이내 라디오를 들으신 방법을 모두 선택해 주십시오.
C_09_004#3,최근 1개월 라디오 청취 방법,복수,귀하께서 최근 1개월 이내 라디오를 들으신 방법을 모두 선택해 주십시오.
C_09_004#4,최근 1개월 라디오 청취 방법,복수,귀하께서 최근 1개월 이내 라디오를 들으신 방법을 모두 선택해 주십시오.
C_09_004#5,최근 1개월 라디오 청취 방법,복수,귀하께서 최근 1개월 이내 라디오를 들으신 방법을 모두 선택해 주십시오.
C_09_004#6,최근 1개월 라디오 청취 방법,복수,귀하께서 최근 1개월 이내 라디오를 들으신 방법을 모두 선택해 주십시오.
C_09_009,라디오 청취 프로그램 선택 방법,단수,귀하께서는 라디오에서 청취하시는 각 프로그램들을 어떤 방법으로 선택하십니까?
C_09_011,라디오 청취시 가장 즐겨 듣는 프로그램 장르,단수,귀하께서 라디오를 들으실 때 가장 즐겨 들으시는 프로그램은 어떤 장르입니까?
C_09_012#1,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#2,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#3,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#4,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#5,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#6,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#7,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#8,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#9,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#10,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#11,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_012#12,라디오 청취시 채널 선택 이유,복수,"라디오를 들을 때, 채널을 선택하는 이유를 모두 선택해 주십시오."
C_09_014,가장 즐겨 청취하는 라디오 채널,단수,귀하께서 가장 즐겨 청취하시는 라디오 방송국 채널이 무엇인지 말씀해주십시오.
C_09_017#1,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#2,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#3,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#4,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#5,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#6,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#7,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#8,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#9,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#10,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#11,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#12,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#13,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#14,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#15,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#16,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#17,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#18,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#19,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_017#20,최근 1개월 청취 채널,복수,최근 1개월 동안 들으신 경험이 있는 채널을 모두 선택해 주십시오.
C_09_034,라디오 광고 주목도(1),단수,귀하께서는 평소 라디오를 청취하시면서 프로그램에 전/중간/후에 나오는 광고를 얼마나 많이 들으시는 편입니까?
C_09_036,라디오 광고 관심도(1),단수,귀하께서 평소 라디오를 청취하실 때 광고가 나오면 광고를 얼마나 관심 있게 청취하십니까?
C_09_037#1,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#2,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#3,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#4,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#5,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#6,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#7,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#8,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_037#9,타 매체와 비교시 라디오의 장점,복수,"다른 매체의 광고와 비교할 때, 라디오 광고의 상대적인 장점은 어떤 것이 있다고 생각하십니까?"
C_09_040,라디오 광고 집중도 - 일반광고,단수,귀하께서는 평소 다음의 라디오 광고를 어떻게 듣고 계신가요? - 일반광고
C_09_041,라디오 광고 집중도 - 협찬광고,단수,귀하께서는 평소 다음의 라디오 광고를 어떻게 듣고 계신가요? - 협찬광고
C_09_042,라디오 광고 집중도 - 시보광고,단수,귀하께서는 평소 다음의 라디오 광고를 어떻게 듣고 계신가요? - 시보광고
C_09_048,좋아하는 라디오 프로그램을 들을 때 광고가 나와도 주파수를 바꾸지 않는다-동의정도,단수,다음 항목에 해당하는 정도를 말씀해 주십시오. - 좋아하는 라디오 프로그램을 들을 때 광고가 나와도 주파수를 바꾸지 않는다
C_09_049,좋아하는 라디오 프로그램의 앞/중간/뒤에 나오는 광고가 더 기억에 남는다-동의정도,단수,다음 항목에 해당하는 정도를 말씀해 주십시오. - 좋아하는 라디오 프로그램의 앞/중간/뒤에 나오는 광고가 더 기억에 남는다
C_09_050,"TV에서 접촉한 경험이 있는 광고물의 음성(Audio)광고를 라디오에서 들었을 때, TV에서 본 광고 내용이 연상된다-동의정도",단수,"다음 항목에 해당하는 정도를 말씀해 주십시오. - TV에서 접촉한 경험이 있는 광고물의 음성(Audio)광고를 라디오에서 들었을 때, TV에서 본 광고 내용이 연상된다"
C_10_015#1,현재사용 단말기 종류,복수,귀하께서는 어떤 DMB 단말기를 사용하고 있으십니까? 해당되는 것을 모두 골라주십시오
C_10_015#2,현재사용 단말기 종류,복수,귀하께서는 어떤 DMB 단말기를 사용하고 있으십니까? 해당되는 것을 모두 골라주십시오
C_10_015#3,현재사용 단말기 종류,복수,귀하께서는 어떤 DMB 단말기를 사용하고 있으십니까? 해당되는 것을 모두 골라주십시오
C_10_015#4,현재사용 단말기 종류,복수,귀하께서는 어떤 DMB 단말기를 사용하고 있으십니까? 해당되는 것을 모두 골라주십시오
C_10_015#5,현재사용 단말기 종류,복수,귀하께서는 어떤 DMB 단말기를 사용하고 있으십니까? 해당되는 것을 모두 골라주십시오
C_10_016,DMB 시청 빈도,단수,귀하께서는 DMB를 얼마나 자주 시청하십니까?
C_10_065#1,DMB 시청 이유,복수,DMB를 시청하시는 가장 큰 이유는 무엇입니까?
C_10_065#2,DMB 시청 이유,복수,DMB를 시청하시는 가장 큰 이유는 무엇입니까?
C_10_065#3,DMB 시청 이유,복수,DMB를 시청하시는 가장 큰 이유는 무엇입니까?
C_10_065#4,DMB 시청 이유,복수,DMB를 시청하시는 가장 큰 이유는 무엇입니까?
C_10_017#1,DMB 비시청 이유 - 1,복수,DMB를 시청하지 않는 이유는 무엇입니까?
C_10_017#2,DMB 비시청 이유 - 2,복수,DMB를 시청하지 않는 이유는 무엇입니까?
C_10_017#3,DMB 비시청 이유 - 3,복수,DMB를 시청하지 않는 이유는 무엇입니까?
C_10_017#4,DMB 비시청 이유 - 4,복수,DMB를 시청하지 않는 이유는 무엇입니까?
C_10_017#5,DMB 비시청 이유 - 5,복수,DMB를 시청하지 않는 이유는 무엇입니까?
C_10_021#1,지난 한 달간 DMB 이용 장소,복수,귀하께서 지난 한 달 동안 DMB 서비스를 이용하신 장소를 모두 골라주십시오.
C_10_021#2,지난 한 달간 DMB 이용 장소,복수,귀하께서 지난 한 달 동안 DMB 서비스를 이용하신 장소를 모두 골라주십시오.
C_10_021#3,지난 한 달간 DMB 이용 장소,복수,귀하께서 지난 한 달 동안 DMB 서비스를 이용하신 장소를 모두 골라주십시오.
C_10_021#4,지난 한 달간 DMB 이용 장소,복수,귀하께서 지난 한 달 동안 DMB 서비스를 이용하신 장소를 모두 골라주십시오.
C_10_021#5,지난 한 달간 DMB 이용 장소,복수,귀하께서 지난 한 달 동안 DMB 서비스를 이용하신 장소를 모두 골라주십시오.
C_10_021#6,지난 한 달간 DMB 이용 장소,복수,귀하께서 지난 한 달 동안 DMB 서비스를 이용하신 장소를 모두 골라주십시오.
C_10_021#7,지난 한 달간 DMB 이용 장소,복수,귀하께서 지난 한 달 동안 DMB 서비스를 이용하신 장소를 모두 골라주십시오.
C_10_027,DMB 1회 이용시 이용 시간,단수,귀하께서는 DMB 서비스를 한 번 이용하실 때 몇 분 정도 이용하십니까?
C_10_031#1,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_031#2,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_031#3,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_031#4,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_031#5,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_031#6,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_031#7,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_031#8,지난 한 달간 시청한 DMB 채널,복수,지난 한 달 동안 시청하신 DMB 채널을 모두 선택해주십시오.
C_10_035,가장 선호하는 DMB 채널,단수,지난 한 달 동안 시청한 DMB 채널 중 가장 선호하는 채널은 어떤 채널입니까?
C_10_044,DMB 채널 중 가장 선호하는 프로그램 장르(1순위),단수,귀하께서는 DMB의 방송 프로그램 장르 중 어떤 것을 가장 선호하십니까?
C_10_045,DMB 채널 중 가장 선호하는 프로그램 장르(2순위),단수,귀하께서는 DMB의 방송 프로그램 장르 중 어떤 것을 가장 선호하십니까?
C_10_056,DMB 시청시 광고 주목도(1),단수,귀하께서는 평소 DMB를 시청하시면서 프로그램 전/중간/후 광고를 얼마나 많이 보시는 편입니까?
C_10_059,DMB 광고 관심도(1),단수,귀하께서 평소 DMB를 시청하실 때 광고가 나오면 광고를 얼마나 관심 있게 보십니까?
C_11_001,인터넷(PC/모바일) 이용 여부,주관식,귀하께서는 평소에 인터넷 이용 시 인터넷(PC)의 비중은 몇 % 입니까?
C_11_002,평소 인터넷 이용 비중 : PC,주관식,귀하께서는 평소에 인터넷 이용 시 인터넷(PC)의 비중은 몇 % 입니까?
C_11_003,평소 인터넷 이용 비중 : 스마트기기,주관식,귀하께서는 평소에 인터넷 이용 시 모바일 인터넷의 비중은 몇 % 입니까?
C_12_002,인터넷 이용 빈도,단수,귀하께서는 평소에 PC(데스크탑/노트북)을 통해 인터넷을 얼마나 자주 이용하십니까?
C_12_027#1,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#2,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#3,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#4,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#5,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#6,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#7,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#8,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#9,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
C_12_027#10,PC 인터넷 이용 콘텐츠,복수,귀하께서는 PC를 통해 인터넷을 하실 때 주로 이용하시는 콘텐츠는 무엇입니까?
